Museum Name,Museum Type,City,State,Income,Revenue,Museum Name2,Rating,Review Count
ALASKA STATE MUSEUM,GENERAL MUSEUM,JUNEAU,AK,"$182,675.00 ","$129,192.00 ",ALASKA STATE MUSEUM,4.5,257
HAMMER MUSEUM,HISTORY MUSEUM,HAINES,AK,$0.00 ,$0.00 ,HAMMER MUSEUM,4,105
KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,HISTORIC PRESERVATION,SKAGWAY,AK,0,0,KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,4.5,618
PRATT MUSEUM,ART MUSEUM,HOMER,AK,"$65,544.00 ","$65,544.00 ",PRATT MUSEUM,4.5,271
WRANGELL MUSEUM,GENERAL MUSEUM,WRANGELL,AK,0,0,WRANGELL MUSEUM,4.5,84
BIRMINGHAM CIVIL RIGHTS INSTITUTE,HISTORIC PRESERVATION,BIRMINGHAM,AL,"$2,736,160.00 ","$2,736,160.00 ",BIRMINGHAM CIVIL RIGHTS INSTITUTE,4.5,701
BIRMINGHAM MUSEUM OF ART,ART MUSEUM,BIRMINGHAM,AL,"$25,404.00 ","$25,404.00 ",BIRMINGHAM MUSEUM OF ART,4.5,342
HISTORY MUSEUM OF MOBILE,HISTORY MUSEUM,MOBILE,AL,"$20,453.00 ","$20,453.00 ",HISTORY MUSEUM OF MOBILE,4.5,181
MOBILE MUSEUM OF ART,ART MUSEUM,MOBILE,AL,"$3,749,971.00 ","$3,668,329.00 ",MOBILE MUSEUM OF ART,4.5,82
ROSA PARKS LIBRARY AND MUSEUM,GENERAL MUSEUM,MONTGOMERY,AL,0,0,ROSA PARKS LIBRARY AND MUSEUM,4.5,392
SOUTHERN MUSEUM OF FLIGHT,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,BIRMINGHAM,AL,"$254,016.00 ","$233,359.00 ",SOUTHERN MUSEUM OF FLIGHT,4.5,121
VULCAN PARK AND MUSEUM,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",BIRMINGHAM,AL,"$1,418,325.00 ","$1,349,832.00 ",VULCAN PARK AND MUSEUM,4.5,768
CRYSTAL BRIDGES MUSEUM OF AMERICAN ART,ART MUSEUM,BENTONVILLE,AR,"$482,391,631.00 ",0,CRYSTAL BRIDGES MUSEUM OF AMERICAN ART,5,"2,848"
ESSE PURSE MUSEUM,ART MUSEUM,LITTLE ROCK,AR,0,0,ESSE PURSE MUSEUM,4.5,100
GANGSTER MUSEUM OF AMERICA,GENERAL MUSEUM,HOT SPRINGS,AR,0,0,GANGSTER MUSEUM OF AMERICA,3.5,363
HISTORIC ARKANSAS MUSEUM,HISTORIC PRESERVATION,LITTLE ROCK,AR,"$576,019.00 ","$214,306.00 ",HISTORIC ARKANSAS MUSEUM,4.5,129
MUSEUM OF MILITARY HISTORY,GENERAL MUSEUM,RUSSELLVILLE,AR,$0.00 ,$0.00 ,MUSEUM OF MILITARY HISTORY,4.5,148
MUSEUM OF NATIVE AMERICAN HISTORY,HISTORY MUSEUM,BENTONVILLE,AR,"$898,462.00 ",0,MUSEUM OF NATIVE AMERICAN HISTORY,5,718
ARIZONA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,MESA,AZ,"$130,535.00 ","$128,165.00 ",ARIZONA MUSEUM OF NATURAL HISTORY,4.5,226
ARIZONA SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,PHOENIX,AZ,"$9,570,267.00 ","$9,054,937.00 ",ARIZONA SCIENCE CENTER,4.5,607
ARIZONA STATE MUSEUM,GENERAL MUSEUM,TUCSON,AZ,0,0,ARIZONA STATE MUSEUM,4.5,102
ARIZONA-SONORA DESERT MUSEUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",TUCSON,AZ,"$13,227,687.00 ","$8,412,523.00 ",ARIZONA-SONORA DESERT MUSEUM,5,"5,590"
BISBEE MINING & HISTORICAL MUSEUM,HISTORIC PRESERVATION,BISBEE,AZ,"$222,862.00 ","$195,433.00 ",BISBEE MINING & HISTORICAL MUSEUM,4.5,281
CHILDREN'S MUSEUM TUCSON,CHILDREN'S MUSEUM,TUCSON,AZ,0,0,CHILDREN'S MUSEUM TUCSON,4.5,169
HEARD MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$13,971,506.00 ","$7,495,330.00 ",HEARD MUSEUM,4.5,"1,698"
INTERNATIONAL WILDLIFE MUSEUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",TUCSON,AZ,0,0,INTERNATIONAL WILDLIFE MUSEUM,4.5,198
MARTIN AUTO MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$248,956.00 ","$248,956.00 ",MARTIN AUTO MUSEUM,4.5,58
MUSEUM OF CONTEMPORARY ART,ART MUSEUM,TUCSON,AZ,"$556,608.00 ","$506,133.00 ",MUSEUM OF CONTEMPORARY ART,4,567
MUSEUM OF GEOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,TEMPE,AZ,0,0,MUSEUM OF GEOLOGY,4.5,210
MUSEUM OF NORTHERN ARIZONA,HISTORY MUSEUM,FLAGSTAFF,AZ,"$5,372,021.00 ","$3,464,222.00 ",MUSEUM OF NORTHERN ARIZONA,4.5,365
MUSICAL INSTRUMENT MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,"$17,120,450.00 ",0,MUSICAL INSTRUMENT MUSEUM,5,"3,553"
PENSKE RACING MUSEUM,GENERAL MUSEUM,PHOENIX,AZ,0,0,PENSKE RACING MUSEUM,4.5,184
PHOENIX ART MUSEUM,ART MUSEUM,PHOENIX,AZ,"$9,540,336.00 ","$8,402,608.00 ",PHOENIX ART MUSEUM,4.5,644
PHOENIX POLICE MUSEUM,HISTORY MUSEUM,PHOENIX,AZ,"$162,269.00 ","$135,353.00 ",PHOENIX POLICE MUSEUM,4.5,56
SEDONA HERITAGE MUSEUM,GENERAL MUSEUM,SEDONA,AZ,0,0,SEDONA HERITAGE MUSEUM,4.5,105
